Species	Virus_name_abbreviation
Beihai yingvirus	BhSCV-4
Charybdis yingvirus	WzQLV-2
Hubei yingvirus	HbQLV-1
Sanxia yingvirus	SxQLV-1
Shahe yingvirus	ShQLV-1
Wenzhou yingvirus	WzQLV-1
Wuhan yingvirus	WhIV-15
Xinzhou yingvirus	XzNV-3
Blueberry mosaic associated ophiovirus	BlMaV
Citrus psorosis ophiovirus	CPsV
Freesia sneak ophiovirus	FreSV
Lettuce ring necrosis ophiovirus	LRNV
Mirafiori lettuce big-vein ophiovirus	MLBVV
Ranunculus white mottle ophiovirus	RWMV
Tulip mild mottle mosaic ophiovirus	TMMMV
Argas mivirus	TcTV-4
Barnacle mivirus	BhBV-9
Beetle mivirus	HbCV-3
Bole mivirus	BTV-3
Brunnich mivirus	WlCV-14
Changping mivirus	CpTV-2
Charybdis mivirus	WzCV-3
Cockroach mivirus	WcLFV-3
Crab mivirus	WzCV-2
Crustacean mivirus	WlCV-13
Dermacentor mivirus	CpTV-3
Hermit mivirus	BhHCV-3
Hippoboscid mivirus	WhLFV-7
Hubei mivirus	HbCLV-1
Hubei odonate mivirus	HbCLV-3
Imjin mivirus	IjRV-1
Lacewing mivirus	SgLWV
Lishi mivirus	LsSV-1
Lonestar mivirus	LSTCV-1
Louse fly mivirus	WhLFV-6
Mosquito mivirus	WhMV-8
Myriapod mivirus	HbMV-8
Odonate mivirus	HbOV-11
Sanxia mivirus	SxASC-4
Shayang mivirus	SyFV-1
Suffolk mivirus	SFKV
Wenling mivirus	WlCV-15
Wuhan mivirus	WhTV-2
Xinzhou mivirus	XzNV-5
Barnacle peropuvirus	BhBV-8
Beihai peropuvirus	BhRLV-1
Hubei peropuvirus	HbRLV-6
Odonate peropuvirus	HbRLV-8
Pillworm peropuvirus	HbRLV-5
Pteromalus puparum peropuvirus	PpNSRV-1
Woodlouse peropuvirus	BhRLV-2
Queensland carbovirus	JCPV
Southwest carbovirus	SWCPV
Sharpbelly cultervirus	WhSBV
Elapid 1 orthobornavirus	LGSV1
Mammalian 1 orthobornavirus	BDV1
Mammalian 2 orthobornavirus	VSBV1
Passeriform 1 orthobornavirus	CBV1
Passeriform 2 orthobornavirus	EFBV1
Psittaciform 1 orthobornavirus	PaBV1
Psittaciform 2 orthobornavirus	PaBV5
Waterbird 1 orthobornavirus	ABBV1
Lloviu cuevavirus	LLOV
Bundibugyo ebolavirus	BDBV
Reston ebolavirus	RESTV
Sudan ebolavirus	SUDV
Tai Forest ebolavirus	TAFV
Zaire ebolavirus	EBOV
Marburg marburgvirus	MARV
Marburg marburgvirus	RAVV
Xilang striavirus	XILV
Huangjiao thamnovirus	HUJV
Gerrid arlivirus	SxWSV-4
Hubei arlivirus	HbRLV-3
Lishi arlivirus	LsSV2
Odonate arlivirus	HbOV-10
Tacheng arlivirus	TcTV-6
Wuchang arlivirus	WcRNV-2
Dadou sclerotimonavirus	SLaNSRV-3
Drop sclerotimonavirus	SsNSRV-4
Glycine sclerotimonavirus	SaNSRV-1
Hubei sclerotimonavirus	HbRLV-4
Illinois sclerotimonavirus	SaNSRV-2
Phyllosphere sclerotimonavirus	SaNSRV-4
Sclerotinia sclerotimonavirus	SsNSRV1
Beihai berhavirus	BhRLV-4
Echinoderm berhavirus	BhRLV-5
Sipunculid berhavirus	BhRLV-3
Beihai crustavirus	BhRLV-6
Wenling crustavirus	WlCV-12
Wenzhou crustavirus	WzCV1
Midway nyavirus	MIDWV
Nyamanini nyavirus	NYMV
Sierra Nevada nyavirus	SNVV
Orinoco orinovirus	ONCV
Soybean cyst nematode socyvirus	SbCNV-1
Tapeworm tapwovirus	WzTWV-1
Avian metaavulavirus 2	APMV-2
Avian metaavulavirus 5	APMV-5
Avian metaavulavirus 6	APMV-6
Avian metaavulavirus 7	APMV-7
Avian metaavulavirus 8	APMV-8
Avian metaavulavirus 10	APMV-10
Avian metaavulavirus 11	APMV-11
Avian metaavulavirus 14	APMV-14
Avian metaavulavirus 15	APMV-15
Avian metaavulavirus 20	APMV-20
Avian orthoavulavirus 1	APMV-1
Avian orthoavulavirus 9	APMV-9
Avian orthoavulavirus 12	APMV-12
Avian orthoavulavirus 13	APMV-13
Avian orthoavulavirus 16	APMV-16
Avian orthoavulavirus 17	APV-A
Avian orthoavulavirus 18	APV-B
Avian orthoavulavirus 19	APV-C
Avian paraavulavirus 3	APMV-3
Avian paraavulavirus 4	APMV-4
Synodus paramyxovirus	WTLPV
Salmon aquaparamyxovirus	ASPMV
Reptilian ferlavirus	FDLV
Cedar henipavirus	CedV
Ghanaian bat henipavirus	GhV
Hendra henipavirus	HeV
Mojiang henipavirus	MojV
Nipah henipavirus	NiV
Beilong jeilongvirus	BeiV
Jun jeilongvirus	JV
Lophuromys jeilongvirus 1	MMLV-1
Lophuromys jeilongvirus 2	MMLV-2
Myodes jeilongvirus	PMPV-1
Tailam jeilongvirus	TaiV
Canine morbillivirus	CDV
Cetacean morbillivirus	DMV
Feline morbillivirus	FeMV
Measles morbillivirus	MV
Phocine morbillivirus	PDV
Rinderpest morbillivirus	RPV
Small ruminant morbillivirus	PPRV
Mossman narmovirus	MossV
Myodes narmovirus	BaV-1
Nariva narmovirus	NarV
Tupaia narmovirus	TupV
Bovine respirovirus 3	BPIV-3
Caprine respirovirus 3	CPIV-3
Human respirovirus 1	HPIV-1
Human respirovirus 3	HPIV-3
Murine respirovirus	SenV
Porcine respirovirus 1	PPIV-1
Salem salemvirus	SalV
Bat mumps orthorubulavirus	BaMV
Human orthorubulavirus 2	HPIV-2
Human orthorubulavirus 4	HPIV-4
Mammalian orthorubulavirus 5	PIV-5
Mapuera orthorubulavirus	MapV
Mumps orthorubulavirus	MuV
Porcine orthorubulavirus	LPMV; PRV
Simian orthorubulavirus	SV-41
Achimota pararubulavirus 1	AchiV-1
Achimota pararubulavirus 2	AchiV-2
Menangle pararubulavirus	MenV
Sosuga pararubulavirus	SoRV
Teviot pararubulavirus	TeV
Tioman pararubulavirus	TioV
Tuhoko pararubulavirus 1	TuV-1
Tuhoko pararubulavirus 2	TuV-2
Tuhoko pararubulavirus 3	TuV-3
Cynoglossus paramyxovirus	WTSPV
Hoplichthys paramyxovirus	WHPV
Scoliodon paramyxovirus	WPSSPV
Avian metapneumovirus	AMPV
Avian metapneumovirus	AMPV
Avian metapneumovirus	AMPV
Avian metapneumovirus	AMPV
Human metapneumovirus	HMPV
Human metapneumovirus	HMPV
Human metapneumovirus	HMPV
Human metapneumovirus	HMPV
Bovine orthopneumovirus	BRSV
Bovine orthopneumovirus	BRSV
Human orthopneumovirus	HRSV
Human orthopneumovirus	HRSV
Murine orthopneumovirus	MPV
Murine orthopneumovirus	MPV
Arboretum almendravirus	ABTV
Balsa almendravirus	BALV
Coot Bay almendravirus	CBV
