TaxonId	VirusSpecies
10506	Paramecium bursaria Chlorella virus 1
10640	Carnation etched ring virus
10641	Cauliflower mosaic virus
10649	Figwort mosaic virus
10651	Soybean chlorotic mottle virus
10653	Commelina yellow mottle virus
10654	Rice tungro bacilliform virus
10815	Abutilon mosaic virus
10817	African cassava mosaic virus
10820	Chloris striate mosaic virus
10821	Maize streak virus
10825	Miscanthus streak virus
10826	Panicum streak virus
10827	Potato yellow mosaic virus
10829	Squash leaf curl virus
10830	Tobacco yellow dwarf virus
10831	Tomato golden mosaic virus
10832	Tomato yellow leaf curl virus
10834	Wheat dwarf virus
10835	Tomato mottle virus
10836	Sugarcane streak virus
10837	Digitaria streak virus
10838	Bean dwarf mosaic virus
10839	Bean golden mosaic virus
10840	Beet curly top virus
10986	Rice gall dwarf virus
10987	wound tumor virus
10989	Maize rough dwarf virus
10990	Rice black streaked dwarf virus
10991	Rice dwarf virus
11307	Sonchus yellow net nucleorhabdovirus
11612	Impatiens necrotic spot virus
11986	Carnation mottle virus
11987	Melon necrotic spot virus
11988	Turnip crinkle virus
12041	Bean leafroll virus
12042	Beet western yellows virus
12045	Potato leafroll virus
12049	Soybean dwarf virus
12055	Tobacco necrosis virus A
12056	Tobacco necrosis virus D
12138	Maize chlorotic mottle virus
12139	Southern bean mosaic virus
12142	Artichoke mottled crinkle virus
12143	Cucumber necrosis virus
12144	Cymbidium ringspot virus
12145	Tomato bushy stunt virus
12149	Belladonna mottle virus
12150	cacao yellow mosaic virus
12151	Eggplant mosaic virus
12152	Erysimum latent virus
12153	Ononis yellow mosaic virus
12154	Turnip yellow mosaic virus
12157	Clitoria yellow vein virus
12158	Kennedya yellow mosaic virus
12161	Beet yellows virus
12162	Citrus tristeza virus
12164	carnation latent virus
12165	Chrysanthemum virus B
12166	Poplar mosaic virus
12167	Potato virus M
12169	Potato virus S
12171	helenium virus S
12172	Shallot latent virus
12173	Lily symptomless virus
12175	Apple chlorotic leaf spot virus
12177	Clover yellow mosaic virus
12178	Cymbidium mosaic virus
12179	Foxtail mosaic virus
12180	Narcissus mosaic virus
12181	Papaya mosaic virus
12182	Potato aucuba mosaic virus
12183	Potato virus X
12187	Strawberry mild yellow edge virus
12188	White clover mosaic virus
12194	Lily virus X
12196	Bean common mosaic virus
12197	Bean yellow mosaic virus
12198	Clover yellow vein virus
12199	Cowpea aphid-borne mosaic virus
12201	Gloriosa stripe mosaic virus
12202	Lettuce mosaic virus
12203	Maize dwarf mosaic virus
12204	Ornithogalum mosaic virus
12205	Papaya ringspot virus
12206	Papaya ringspot virus P
12207	Papaya ringspot virus W
12208	Pea seed-borne mosaic virus
12209	Pepper mottle virus
12210	Pepper severe mosaic virus
12211	Plum pox virus
12215	Potato virus A
12216	Potato virus Y
12217	Potato virus Y strain C
12220	Potato virus Y strain O
12222	Soybean mosaic virus
12223	Soybean mosaic virus N
12224	Sugarcane mosaic virus
12226	Tamarillo mosaic virus
12227	Tobacco etch virus
12228	Tobacco vein mottling virus
12229	Tulip breaking virus
12230	Turnip mosaic virus
12232	Zucchini yellow mosaic virus
12235	Cucumber green mottle mosaic virus
12238	Odontoglossum ringspot virus
12239	Pepper mild mottle virus
12240	Sunn-hemp mosaic virus
12241	Tobacco mild green mosaic virus
12242	Tobacco mosaic virus
12253	Tomato mosaic virus
12259	Andean potato mottle virus
12260	Bean pod mottle virus
12261	Cowpea severe mosaic virus
12262	Red clover mottle virus
12263	Squash mosaic virus
12264	Cowpea mosaic virus
12267	Red clover necrotic mosaic virus
12268	Carnation ringspot virus
12271	Arabis mosaic virus
12273	Grapevine chrome mosaic virus
12274	Grapevine fanleaf virus
12275	Tomato black ring virus
12280	Tomato ringspot virus
12282	Tobacco ringspot virus
12287	Flock House virus
12294	Pea early-browning virus
12295	Tobacco rattle virus
12301	Broad bean mottle virus
12302	Brome mosaic virus
12303	Cowpea chlorotic mottle virus
12305	Cucumber mosaic virus
12313	Peanut stunt virus
12315	Tomato aspermy virus
12317	Tobacco streak virus
12319	Apple mosaic virus
12321	Alfalfa mosaic virus
12327	Barley stripe mosaic virus
12328	Poa semilatent virus
12330	Maize stripe tenuivirus
12331	Rice stripe tenuivirus
12332	Rice hoja blanca tenuivirus
12430	Garlic virus D
12431	Garlic virus C
12432	Garlic virus B
12433	Garlic virus A
12436	Cucumber mosaic virus satellite RNA
12444	Satellite tobacco necrosis virus 2
12445	satellite tobacco necrosis virus 1
12451	Raspberry bushy dwarf virus
12458	Garlic latent virus
12465	Barley yellow mosaic virus
12466	Barley mild mosaic virus
12470	Lucerne transient streak virus
12471	Solanum nodiflorum mottle virus
12472	Subterranean clover mottle virus
12473	Velvet tobacco mottle virus
12474	Coconut foliar decay virus
12558	Sesbania mosaic virus
12585	Banana bunchy top virus
12615	Cherry leaf roll virus
12627	Cowpea mottle virus
12675	Groundnut ringspot virus
12777	Parsnip yellow fleck virus
12783	Pear blister canker viroid
12809	Raspberry ringspot virus
12844	Sweet potato feathery mottle virus
12851	Tomato chlorotic spot virus
12881	Satellite tobacco mosaic virus
12885	Tomato apical stunt viroid
12886	Dapple plum and peach fruit disease viroid
12887	Dapple peach fruit disease viroid
12888	Tomato planta macho viroid
12889	Coconut tinangaja viroid
12890	Citrus exocortis viroid
12892	Potato spindle tuber viroid
12893	Hop stunt viroid
12894	Peach latent mosaic viroid
12895	Apple scar skin viroid
12896	Avocado sunblotch viroid
12897	Chrysanthemum stunt viroid
12898	Citrus bark cracking viroid
12899	Coleus blumei viroid
12901	Columnea latent viroid
12902	Hop stunt viroid - cucumber
12903	Grapevine viroid
12904	Grapevine yellow speckle viroid 1
12906	Citrus bent leaf viroid
12907	Hop latent viroid
28266	Dapple apple viroid
28347	Apple stem grooving virus
28348	Sweet clover necrotic mosaic virus
28350	Tomato leaf curl virus
28351	Strawberry latent ringspot virus
28353	Peanut stripe virus
28354	Plantago asiatica mosaic virus
28355	Peanut clump virus
28375	Soil-borne wheat mosaic virus
29257	beet cryptic virus 3
29271	Dasheen mosaic virus
29272	Turnip vein-clearing virus
29276	Bean common mosaic virus strain Blackeye
31503	Satellite maize white line mosaic virus
31504	Tobacco ringspot virus satellite RNA
31559	Cacao swollen shoot virus
31600	Indian cassava mosaic virus
31602	Bean calico mosaic virus
31711	Cardamine chlorotic fleck virus
31713	Lettuce infectious yellows virus
31721	Beet necrotic yellow vein virus
31722	Blueberry scorch virus
31732	Passion fruit woodiness virus
31738	Plum pox virus strain El Amar
31741	Wheat streak mosaic virus
31742	Johnsongrass mosaic virus
31743	Sweet potato latent virus
31744	Rice yellow mottle virus
31749	Obuda pepper virus
31750	Pepper ringspot virus
31770	Shallot virus X
32612	Lettuce necrotic yellows virus
32619	Sorghum mosaic virus
32620	Iris severe mosaic virus
32624	Lily mottle virus
32629	Indian peanut clump virus
33726	Mungbean yellow mosaic virus
33759	Citrus tatter leaf virus
33760	Prune dwarf virus
33761	groundnut rosette assistor virus
33763	Peanut mottle virus
33765	Tobacco vein banding mosaic virus
33773	Olive latent virus 2
35280	Pelargonium leaf curl virus
